"0","8709580"
"5","8707493 8676922 8671232 8710525 8690166 8713306 8709184 8704126 8716038 8713273 8713466 8693013 8678147 8672463 8682621 8685522 8688279 8674996 8713525 4618131 8672561 8692836 8675764 8672923 8710445 8712295 8712657 8708987 8576088 8672131 8712181 8675787 8713259 8713849 8684387 8671174 8646987 8685907 8692736 8714690 8715992 8711380 8710423 8707495 8710103 8711937 8712143 8713359 8703007 8712643 8689749 8713596 8685783 8689401 8709120 8672647 8713192 8686443 8708607 8667009 8687887 8712524 8714622 8708994 8675066 8699949 8715225 8673717 8714012 8713103 8689653 8711735 8714428 8676594 8685696 8707538 8706543 8675371 8699857 8667848 8706769 8684615 8715057 8685105 8686420 8710380 8686670 8643429 8688082"
"50","8678147 8689448 8671776"
"500","8693921 8522048 8714581 8522070 8522056"
"5000","8709184 8713525 8712181 8692946 8714356"
"500pm","8712217"
"5075","8689448"
"510","8708409"
"5295","8712967"
"530am","8713359"
"530pm","8708551 8686374 8675965 8711179 8692946 8671174 8712871 8691729 8711937 8713359 8673854 8712643 8708994"
"5316","8713445"
"545pm","8672923"
"55","8669647 8672318 8672463 8713555 8713170 8685907 8690137 8713617 8689779 8713445"
"5500","8712865"
"55day","8712413"
"55days","8703821"
"57","8712978 8644626"
"5800","8678480"
"5921","8690166"
"5b","8686374"
"5day","8676922 8669128"
"5days","8714667"
"5figure","8716429"
"5g","8676856"
"5min","8711756"
"5pm","8709613 8713273 8686610 8707538 8713445"
"5s","8705854 8711937 8711390 8711388 8713219 8712524 8712892"
"5years","8685783"
"6","8704126 8708551 8670946 8670890 8674689 8695424 8576088 8716168 8646987 8692736 8691729 8714501 8685783 8690813 8672647 8708607 8713694 8708398 8708388 8676594 8667848 8677326 8715057 8710287 8686420 8686501 8688082"
"60","8671232 8674828 8710630"
"600","8666376 8674689 8713525 8714373 8641074"
"6000","8716429 8713596 8710089"
"600pm","8711179 8691729 8673854"
"609128","8685907"
"615","8708685"
"62","8672923"
"630pm","8715992 8703007"
"6318","8677006"
"645","8675491"
"65","8714340 8690166 8711540 8677969 8678147 8694526 8677964 8681217 8712203 8712354 8678013 8714501 8711264 8677006 8677926 8693756 8713728 8671715 8713037 8678298"
"6500","8713306"
"658966","8681217"
"6590","8716038 8713273 8712872 8715992 8715775 8712893 8712892"
"6598980874","8711654 8713449"
